YM,JOIN_SN,JOIN_SN_TYP,BIZ_SN,SCTR_CD,SCR_TCH_SN,LN_AMT
201912,647752,3,114234,01,2977,500000
201810,371455,3,15963,01,14513,60000
201907,1306106,3,10509,01,33057,3000000
201812,1781911,3,179060,01,21445,3000000
201908,0,1,8951,01,14462,100000
201906,0,1,31030,01,21498,100000
201806,208269,3,192905,01,20936,100000
201903,1306106,3,10509,01,30107,3000000
201911,647752,3,114234,01,4780,500000
202004,112982,3,87224,01,22708,2000000
202001,875454,3,100999,01,12297,3000000
202006,1938823,3,86662,01,10824,800000
201910,97906,3,183365,01,26544,60000
201903,1222502,3,170213,01,31567,500000
201808,210882,3,174288,01,18883,1000000
201810,289810,3,82649,01,10125,3000000
201912,627538,3,71652,01,6538,30000
201904,0,1,117863,01,12294,100000
201904,353791,3,35435,01,24376,200000
201906,380759,3,143823,01,4906,300000
201912,353791,3,35435,01,21530,400000
201902,1312871,3,108813,01,13747,400000
201809,208269,3,192905,01,20936,100000
202006,1468944,3,96367,01,8207,70000
201901,991472,3,125413,01,27047,400000
201907,1471772,3,162173,01,4350,1000000
202005,242153,3,43141,01,1230,2000000
201910,1938823,3,86662,01,10824,3000000
201812,320986,3,118533,01,31955,90000
201809,1475750,3,138042,01,22724,100000
201905,242153,3,43141,01,13520,2000000
202006,1738590,3,107601,01,18889,600000
201811,556939,3,86293,01,8306,300000
201809,1567267,3,102915,01,13784,3000000
201908,500108,3,83502,01,13351,100000
202001,474852,3,138364,01,10046,200000
202002,0,1,130258,01,17060,100000
202002,1892969,3,111414,01,11478,3000000
202003,0,1,131948,01,32448,100000
201904,500108,3,83502,01,13351,100000
201906,0,1,27166,01,6405,80000
201903,123859,3,109168,01,20097,800000
201910,0,1,27166,01,6405,80000
201911,196874,3,47159,01,19894,900000
201809,1879475,3,83320,01,11451,200000
201807,295232,3,37868,01,6041,60000
202004,1338382,3,193593,01,1905,200000
201907,500108,3,83502,01,8965,200000
201808,1442677,3,30396,01,30634,2000000
201909,133481,3,165022,01,20098,700000
201901,1030620,3,102964,01,18326,90000
202006,1306106,3,10509,01,32048,3000000
202002,875454,3,100999,01,12297,3000000
202006,743651,3,187994,01,19240,200000
201810,500108,3,83502,01,8965,200000
202005,573468,3,54149,01,17248,2000000
201909,1117647,3,134963,01,25015,90000
201809,289810,3,82649,01,27691,600000
202006,0,1,24457,01,17227,100000
201906,1471772,3,162173,01,4350,2000000
202003,0,1,151042,01,22214,100000
202004,1438325,3,147770,01,22099,100000
201910,1312871,3,108813,01,25734,1000000
201912,0,1,93980,01,22591,100000
201807,1732432,3,42420,01,16045,200000
201809,1244695,3,193547,01,5716,900000
201903,1760166,3,36233,01,6596,1000000
202003,0,1,31176,01,29433,100000
201810,449121,3,26043,01,19216,600000
202003,1452211,3,174031,01,12068,100000
201811,1438325,3,147770,01,11799,70000
201908,0,1,159100,01,14507,100000
201901,1244695,3,193547,01,16059,300000
202006,371455,3,15963,01,12548,80000
202003,139696,3,56559,01,28534,200000
201905,0,1,195138,01,4864,100000
201910,1047379,3,130855,01,32888,20000
201904,1306106,3,10509,01,33057,3000000
201911,380759,3,143823,01,7582,300000
201910,242153,3,43141,01,13520,3000000
201912,0,1,135851,01,1992,70000
201912,955318,3,14127,01,25421,200000
201912,0,1,132448,01,16605,90000
202006,0,1,27166,01,7228,80000
201910,1732140,3,123453,01,5975,100000
201807,1475750,3,138042,01,4446,400000
202002,219940,3,34207,01,404,200000
201901,380759,3,143823,01,32605,500000
201912,0,1,159100,01,9934,100000
202002,1315799,3,1785,01,13324,400000
202004,651358,3,69267,01,27084,200000
201812,145268,3,127673,01,9955,400000
201812,1191712,3,87775,01,29948,100000
201905,1306106,3,10509,01,33057,3000000
201812,1005876,3,162657,01,21896,90000
201904,1441434,3,112026,01,25296,300000
202002,1938823,3,86662,01,10824,3000000
201912,0,1,16181,01,31455,50000
201806,1306106,3,10509,01,444,600000
201906,430058,3,6100,01,19109,100000
202004,468256,3,69328,01,4613,3000000
202001,0,1,194014,01,20498,100000
201911,1141991,3,11644,01,14862,80000
201909,0,1,101852,01,8955,100000
201903,500108,3,83502,01,27526,3000000
202004,1441434,3,112026,01,25296,200000
201807,1191712,3,87775,01,15914,300000
201809,1306106,3,10509,01,444,600000
201904,1452211,3,174031,01,14220,70000
202006,1762179,3,80453,01,27661,100000
202004,1183266,3,117831,01,15734,100000
202001,1879475,3,83320,01,26613,3000000
201905,1760166,3,36233,01,6596,1000000
202004,1117647,3,134963,01,21076,2000000
202006,1928237,3,132888,01,26823,1000000
201912,0,1,175641,01,22845,100000
201808,554859,3,123633,01,19771,1000000
201806,608927,3,72973,01,15441,700000
201808,1437721,3,152180,01,22207,100000
201911,1619156,3,158716,01,28806,3000000
201809,0,1,176302,01,6253,100000
202005,500108,3,83502,01,8965,100000
201907,1475750,3,138042,01,19334,3000000
202004,571637,3,150308,01,30843,300000
201906,0,1,155902,01,18423,100000
201911,353791,3,35435,01,24376,600000
201911,1270559,3,137953,01,2348,200000
201906,1732432,3,42420,01,16045,200000
201812,371455,3,15963,01,14513,60000
202004,691606,3,151141,01,27757,200000
202001,504150,3,66676,01,19072,1000000
201910,363310,3,182108,01,9131,300000
201812,0,1,29609,01,5487,100000
201912,1452211,3,174031,01,12068,100000
202001,0,1,88381,01,25610,100000
201910,1438325,3,147770,01,22099,100000
201908,233600,3,34667,01,30622,400000
201906,1567267,3,102915,01,11312,2000000
201902,1468944,3,96367,01,6273,50000
202005,1506376,3,72945,01,16374,1000000
201806,1312871,3,108813,01,26931,400000
201807,117595,3,110613,01,13936,30000
201902,363310,3,182108,01,19009,400000
202004,19570,3,169811,01,3079,3000000
201901,1167202,3,127783,01,8452,1000000
201905,1702363,3,8672,01,24611,100000
201907,1150988,3,130731,01,5701,3000000
201812,242153,3,43141,01,28137,2000000
201909,948786,3,131184,01,25106,80000
201808,0,1,155902,01,18423,100000
201901,47029,3,60029,01,6194,2000000
201812,608927,3,72973,01,33448,700000
201906,1938823,3,86662,01,27155,400000
201907,1475974,3,129270,01,19448,500000
201807,955318,3,14127,01,29945,200000
201810,1191712,3,87775,01,15914,400000
201810,0,1,194014,01,20498,100000
201910,145268,3,127673,01,9955,300000
201912,991472,3,125413,01,1370,1000000
202001,1471772,3,162173,01,22510,2000000
201910,1150988,3,130731,01,5701,3000000
201808,1849960,3,27790,01,15718,1000000
202005,1717467,3,87364,01,25312,30000
202002,112982,3,87224,01,25252,2000000
202001,686922,3,104851,01,26562,100000
201806,449121,3,26043,01,2048,3000000
201904,145268,3,127673,01,9955,400000
201909,1732140,3,123453,01,23260,700000
201809,210882,3,174288,01,12156,500000
201910,1191712,3,87775,01,26075,400000
202001,556939,3,86293,01,19361,400000
201909,208269,3,192905,01,23825,200000
201902,219940,3,34207,01,404,200000
201806,1471772,3,162173,01,18965,2000000
201809,1471772,3,162173,01,32359,200000
202004,242153,3,43141,01,10883,700000
201810,210882,3,174288,01,18883,1000000
202003,1522763,3,80812,01,18982,30000
201812,0,1,115334,01,28567,100000
201901,1338382,3,193593,01,1905,300000
201810,1690394,3,77537,01,29057,400000
202005,1879475,3,83320,01,5058,800000
202002,133481,3,165022,01,10222,200000
202006,380759,3,143823,01,3939,900000
201909,554859,3,123633,01,627,700000
202003,1521296,3,183826,01,22006,100000
201911,0,1,117863,01,24952,100000
201810,180996,3,132466,01,18458,70000
201908,602546,3,124133,01,24518,2000000
201904,0,1,115334,01,21614,90000
201812,755861,3,112373,01,26558,40000
201908,0,1,155902,01,18423,100000
202005,0,1,159100,01,9934,100000
202004,289810,3,82649,01,1526,600000
201903,219940,3,34207,01,404,200000
201908,315491,3,89268,01,10189,3000000
201905,133481,3,165022,01,6345,70000
201912,755861,3,112373,01,2443,80000
201808,1141991,3,11644,01,23699,90000
201909,449121,3,26043,01,30222,3000000
201810,991472,3,125413,01,27047,400000
