YM,JOIN_SN,JOIN_SN_TYP,SCTR_CD,COM_SN,IS_ME,GRNT_CD,GRNT_AMT,GRNT_DT
201812,1538802,1,03,492101,0,0033,100,200501
201909,1661417,1,24,4596185,0,0033,5000,201904
202003,1321506,1,12,7102287,0,0033,90000,201904
201903,564566,1,17,2098656,0,0033,20000,201810
201909,865575,1,12,9525174,0,0033,20000,201603
202002,1718620,1,03,664726,0,0033,100,201205
201812,1099164,1,01,2885958,0,0033,20000,201502
202002,623363,1,21,459136,0,0033,3000000,201802
201807,84709,1,17,2811421,0,0033,30000,201603
201903,1604227,1,16,5135979,0,0033,100000,201204
201902,1748100,1,12,4004677,0,0033,1000,201105
201811,728960,1,01,3886425,0,0033,4000,201810
201903,336459,1,17,6017346,0,0033,20000,201810
201911,1251622,1,03,3346556,0,0033,100,200808
201908,1724514,1,12,2664999,0,0033,70000,201710
201905,225761,1,01,2008277,0,0033,200000,200601
201808,1702367,1,03,4591618,0,0033,2000000,201808
201910,376463,1,01,4958777,0,0033,70000,201608
201901,1001919,1,12,8361765,0,0033,20000,201406
201902,495310,1,17,4406906,0,0033,1000,201502
201907,260549,1,01,8216789,0,0033,20000,201901
201909,336459,1,01,1201914,0,0033,300000,200801
201909,1641466,1,12,1524067,0,0033,200000,201602
201905,666043,1,16,5591072,0,0033,10000,201604
201907,775621,1,12,2825473,0,0033,100000,201902
201905,1287705,1,01,5052987,0,0033,30000,200805
201908,210153,1,16,5011879,0,0033,20000,201804
202002,373764,1,01,2463425,0,0033,200000,201707
202006,783014,1,16,6938981,0,0033,40000,202001
201908,617618,1,01,1206699,0,0033,2000000,201801
201909,1825256,1,01,6383048,0,0033,2000000,201105
201906,1500128,1,03,5323880,0,0033,60000,201408
201905,210153,1,16,5011879,0,0033,20000,201804
201901,1099164,1,12,4918047,0,0033,40000,201608
201906,1876853,1,03,2334457,0,0033,6000,200501
202001,853421,1,17,6165406,0,0033,20000,201702
201902,494032,1,17,8048165,0,0033,30000,201605
201812,693214,1,01,313075,0,0033,200000,201601
201903,314767,1,03,4423646,0,0033,30000,200501
201809,497083,1,12,4748219,0,0033,60000,201806
201908,555603,1,01,4008178,0,0033,500000,200705
201912,848853,1,01,2585968,0,0033,200000,200910
201807,1625574,1,12,2661949,0,0033,200000,201503
201806,1564585,1,01,7784150,0,0033,5000000,201806
201911,1651459,1,16,7074440,0,0033,1000,201703
201810,439845,1,12,7570998,0,0033,30000,201704
202006,336459,1,12,1717210,0,0033,80000,200504
202001,1225466,1,16,5388921,0,0033,20000,201905
201910,1748100,1,12,3833210,0,0033,100000,201105
201809,352052,1,01,3125376,0,0033,100,201204
201812,824730,1,05,9694680,0,0033,3000,201604
201810,38380,1,01,1912787,0,0033,700000,200703
201808,1028755,1,12,9298939,0,0033,10000,201310
201810,1286399,1,12,2922644,0,0033,4000,200501
202001,268913,1,03,3684806,0,0033,100,200501
202001,1328769,1,17,4021214,0,0033,80000,201912
201811,1714896,1,12,5312123,0,0033,100000,200603
201907,1196548,1,17,2560323,0,0033,20000,200501
201910,1769080,1,01,6898960,0,0033,90000,200811
201908,402372,1,12,9043177,0,0033,30000,201207
201905,1769080,1,12,3632465,0,0033,1000000,200501
202006,592209,1,17,8580205,0,0033,40000,201907
202004,1482871,1,12,1551691,0,0033,30000,201605
201904,968390,1,12,3999120,0,0033,300000,201801
201808,1915469,1,12,7074493,0,0033,40000,201606
201912,1336667,1,12,995943,0,0033,100000,201610
201901,696030,1,12,7662080,0,0033,100000,201803
201809,782625,1,01,3615590,0,0033,4000,201103
202005,1924066,1,03,5948343,0,0033,80000,201309
201910,555263,1,01,6145295,0,0033,90000,200604
202003,1745253,1,12,7560541,0,0033,5000,201006
201807,1864893,1,03,3953615,0,0033,600,200501
201901,885766,1,12,1594679,0,0033,300000,200501
202003,183610,1,12,6109372,0,0033,50000,202003
201809,1738701,1,01,8195967,0,0033,10000,200701
201903,1326728,1,12,6214967,0,0033,60000,201803
201808,1494797,1,03,5326451,0,0033,100,201307
202005,1353713,1,03,3621309,0,0033,100,200509
201907,1019319,1,12,7500003,0,0033,2000,200806
202004,1673396,1,16,2813472,0,0033,50000,201810
201903,590194,1,12,3997976,0,0033,60000,201712
202001,1038414,1,21,1244947,0,0033,8000,200811
201809,566635,1,17,5787274,0,0033,200000,201401
201907,376463,1,01,2299025,0,0033,200000,200911
202005,1523847,1,01,3036,0,0033,30000,200908
202001,1753545,1,12,3971241,0,0033,5000,201508
202005,510770,1,24,7626885,0,0033,2000,201506
201904,1252953,1,05,1636943,0,0033,20000,201806
201901,1484540,1,17,4416238,0,0033,8000,201707
201910,1377827,1,03,5470887,0,0033,40000,200501
201906,637492,1,03,4561087,0,0033,8000,200501
201906,1240432,1,01,8297774,0,0033,60000,201112
201902,1417847,1,01,5584349,0,0033,200000,201607
201808,755473,1,01,7514765,0,0033,10000,201402
201810,357864,1,03,930202,0,0033,40000,200501
201902,1224164,1,12,8777175,0,0033,3000,201011
201810,1952789,1,12,4183509,0,0033,20000,200905
201906,1278794,1,01,8704990,0,0033,70000,201705
201901,397388,1,12,433472,0,0033,10000,201509
201903,598540,1,12,1444847,0,0033,10000,201107
201902,107398,1,12,2693793,0,0033,40000,201604
201902,527399,1,21,3897975,0,0033,3000000,200908
201807,396442,1,01,4201313,0,0033,600000,201012
201906,938068,1,12,8871039,0,0033,4000,201510
202003,391000,1,01,7238335,0,0033,7000,201804
201810,1155579,1,17,5692471,0,0033,30000,201806
201902,1171606,1,01,9619921,0,0033,100000,201306
202004,848545,1,12,1727041,0,0033,30000,201206
201901,1331735,1,17,7321318,0,0033,4000,201610
202004,1625574,1,12,2661949,0,0033,200000,201503
201904,147150,1,12,5179803,0,0033,200000,200904
201909,1863179,1,01,2645276,0,0033,2000000,201506
201912,1745253,1,12,7560541,0,0033,5000,201006
201807,838379,1,17,5209865,0,0033,5000,201605
201906,527399,1,21,3897975,0,0033,3000000,200908
201908,1278794,1,16,8863398,0,0033,7000,201505
201901,785936,1,12,394245,0,0033,2000000,201605
202004,1704882,1,03,8830733,0,0033,20000,200501
201808,1145078,1,01,9562457,0,0033,500000,201802
202002,1714896,1,12,5312123,0,0033,100000,200603
201912,510770,1,24,7626885,0,0033,2000,201506
201908,913160,1,01,7602469,0,0033,30000,201403
202005,1670517,1,24,6681106,0,0033,5000,201505
201809,1127632,1,01,545825,0,0033,2000,201706
202003,972078,1,12,3075796,0,0033,10000,201504
201806,578755,1,03,1614532,0,0033,100,201202
201807,865575,1,12,9525174,0,0033,20000,201603
202005,848545,1,12,8735424,0,0033,400,201207
201806,1611956,1,01,6280769,0,0033,40000,201711
201809,1473330,1,17,9105141,0,0033,50000,201809
202003,515606,1,12,9204529,0,0033,200000,201904
201806,1043685,1,03,2956506,0,0033,100,200501
201907,696030,1,12,7662080,0,0033,60000,201803
201806,1724514,1,12,2664999,0,0033,70000,201710
201905,1825256,1,01,6383048,0,0033,2000000,201105
201809,421038,1,17,1238349,0,0033,10000,201805
202005,555603,1,01,3150812,0,0033,500000,200906
201808,1175281,1,01,3773169,0,0033,80000,201806
201904,1612764,1,05,3621900,0,0033,10000,201902
201906,1091705,1,16,4022289,0,0033,60000,201511
201902,1922267,1,12,6604553,0,0033,200000,201812
201901,1708494,1,01,9493463,0,0033,10000,201703
202002,865575,1,12,9525174,0,0033,20000,201603
201910,1733454,1,12,2987635,0,0033,40000,201908
201911,1796523,1,17,681251,0,0033,10000,201808
201910,301902,1,12,5958504,0,0033,300000,201905
201807,1121864,1,12,6407782,0,0033,200000,201305
201909,956894,1,03,8130098,0,0033,3000,200501
202001,550511,1,12,1644093,0,0033,10000,200501
201909,324474,1,12,2966938,0,0033,100000,201611
202001,1043657,1,01,970990,0,0033,2000,201809
201909,1042032,1,01,9143999,0,0033,10000,201907
201908,938068,1,12,8871039,0,0033,3000,201510
202004,1671539,1,12,3484395,0,0033,20000,201306
202003,546786,1,24,7302274,0,0033,6000,201912
201808,1434323,1,01,1773527,0,0033,20000,201502
201901,976310,1,03,8566384,0,0033,100,200910
201810,581446,1,12,6600220,0,0033,6000,201206
