JOIN_SN,is_applied
310017,1
1368715,1
555263,1
416298,1
1360594,1
1801671,1
1791096,1
1038725,1
264447,1
1105112,1
620139,1
454554,1
1102357,1
1191149,1
896959,1
912126,1
1823303,1
725788,1
1502776,1
1190842,1
1723999,1
831329,1
1887722,1
1583455,1
925284,1
1023573,1
289140,1
944856,1
931289,1
568909,1
1879458,1
1861283,1
787776,1
1693739,1
192946,1
1590453,1
140247,1
1321700,1
960520,1
716766,1
1247336,1
751584,1
965521,1
1221820,1
456755,1
706161,1
1943978,1
645049,1
1431911,1
1393901,1
637175,1
426949,1
1415509,1
338861,1
1509043,1
582067,1
3258,1
419324,1
1166987,1
23622,1
759157,1
1925634,1
1015705,1
470584,1
1292334,1
1589822,1
1421333,1
529691,1
857568,1
964217,1
1459995,1
491177,1
735203,1
587916,1
296486,1
1864788,1
1569153,1
637486,1
860506,1
1517725,1
933140,1
528376,1
270760,1
463595,1
186193,1
527884,1
108242,1
1304722,1
1338457,1
53480,1
763583,1
348751,1
995026,1
1387317,1
1663758,1
1582913,1
1438623,1
153340,1
362618,1
1274114,1
1425116,1
1152618,1
1958720,1
748219,1
460724,1
1724654,1
1491704,1
1235566,1
1037380,1
761912,1
1851146,1
1728457,1
352004,1
1653322,1
1848080,1
1702931,1
128366,1
623846,1
616634,1
749941,1
1133153,1
617335,1
398201,1
328264,1
1824777,1
668786,1
473221,1
1565342,1
1038632,1
81882,1
1306156,1
440894,1
1826555,1
445132,1
930055,1
1788535,1
495455,1
1022703,1
261173,1
1529912,1
164952,1
1942964,1
760729,1
623653,1
485869,1
1109668,1
229237,1
1135620,1
1304115,1
121850,1
473150,1
403383,1
984839,1
908092,1
1813941,1
707718,1
288303,1
1532089,1
1878345,1
1179871,1
56742,1
1278957,1
1849394,1
1011342,1
161135,1
626121,1
1134033,1
1017206,1
1035679,1
993334,1
118728,1
1835951,1
262154,1
1181808,1
671811,1
1564990,1
1211970,1
168422,1
1384114,1
1526776,1
1551583,1
502946,1
1951994,1
455155,1
1701428,1
167736,1
958396,1
997046,1
1518030,1
1415760,1
815458,1
382273,1
441691,1
1387542,1
96413,1
1258954,1
1030254,1
841227,1
1629330,1
1676813,1
1705107,1
1443458,1
1172614,1
694359,1
1692899,1
964611,1
1273690,1
1795244,1
1259828,1
664844,1
72620,1
394388,1
1484991,1
1631542,1
1619389,1
495310,1
1315711,1
534845,1
881254,1
163260,1
1628520,1
1803098,1
1204014,1
1545664,1
607741,1
287465,1
1891131,1
1429484,1
1149847,1
1052459,1
932941,1
1955969,1
1671781,1
208814,1
892193,1
1921242,1
203390,1
763722,1
1270848,1
543500,1
1672590,1
1471934,1
1317520,1
146407,1
1841666,1
1677935,1
740506,1
1828653,1
1353276,1
1046768,1
1746403,1
1600209,1
1037161,1
78305,1
941388,1
205378,1
36310,1
1946163,1
725008,1
419152,1
1733134,1
1052628,1
509578,1
832523,1
1750441,1
528600,1
1738601,1
1614539,1
172050,1
1507864,1
1442445,1
1496392,1
393046,1
1752534,1
922484,1
344223,1
632375,1
1631077,1
1750814,1
849652,1
168264,1
1275261,1
716590,1
1268456,1
36680,1
546090,1
769991,1
1238416,1
1876977,1
896546,1
762381,1
1301726,1
1214237,1
1808409,1
711719,1
1710447,1
110639,1
1295256,1
1648027,1
544514,1
1941418,1
92721,1
870007,1
194423,1
698151,1
763498,1
1080411,1
663505,1
817022,1
329620,1
1228617,1
574535,1
1386740,1
632800,1
1200708,1
1529348,1
1785543,1
1721109,1
119901,1
155528,1
1740369,1
142477,1
8033,1
759534,1
851709,1
1693871,1
859303,1
522317,1
1843588,1
978075,1
1797621,1
998402,1
1306181,1
759571,1
672287,1
994575,1
1901012,1
1637656,1
708414,1
1897594,1
1321641,1
796653,1
660282,1
1792502,1
303032,1
1219495,1
185887,1
1148453,1
1531222,1
215300,1
985552,1
14109,1
101218,1
406630,1
1624544,1
744741,1
1420887,1
1123309,1
447477,1
1648869,1
714187,1
176324,1
481167,1
1419944,1
1951960,1
1698714,1
1733523,1
638552,1
1569940,1
814428,1
644637,1
1846687,1
1872940,1
1924901,1
1308724,1
1516875,1
913128,1
1193958,1
95437,1
1716273,1
1087266,1
1228214,1
1496223,1
1851747,1
170494,1
1217681,1
992588,1
204509,1
578201,1
191663,1
1538544,1
1210032,1
170624,1
227479,1
1104856,1
1359391,1
83093,1
733650,1
841465,1
1059340,1
53917,1
476289,1
1949842,1
200893,1
1090261,1
33108,1
507321,1
1291954,1
483259,1
644600,1
555460,1
1903366,1
1947834,1
432959,1
903120,1
1040319,1
1423680,1
1384493,1
736539,1
26395,1
1395140,1
499538,1
1495714,1
1398969,1
1215977,1
1353633,1
879251,1
315074,1
301860,1
995726,1
1632636,1
222124,1
857235,1
612701,1
1823637,1
140677,1
855399,1
1068503,1
363891,1
1287474,1
174638,1
1800776,1
1778617,1
988413,1
1771850,1
384421,1
94558,1
407526,1
809589,1
634649,1
1288116,1
1439379,1
300147,1
332549,1
1116894,1
1643510,1
986550,1
157618,1
1595402,1
1700523,1
736898,1
468851,1
1884636,1
1121006,1
1563489,1
1732911,1
1271898,1
280977,1
328223,1
1385131,1
80938,1
338559,1
1255438,1
767135,1
1948383,1
970515,1
1007513,1
1600893,1
403844,1
478397,1
1582777,1
990211,1
460549,1
831366,1
1351642,1
658134,1
631636,1
117049,1
310175,1
329356,1
585207,1
475305,1
1758247,1
350372,1
488684,1
858970,1
1807773,1
38423,1
369921,1
590614,1
1335818,1
271749,1
1244367,1
886350,1
588516,1
1770319,1
88751,1
731748,1
337658,1
1095428,1
1164500,1
1215182,1
844511,1
783115,1
123795,1
1720362,1
1950877,1
1584908,1
1702695,1
731059,1
1753173,1
1497015,1
1529052,1
1907142,1
576718,1
1495733,1
16822,1
477074,1
297176,1
1022497,1
552885,1
123945,1
1535659,1
733190,1
23369,1
771263,1
1276275,1
1044255,1
531067,1
439991,1
795858,1
1727369,1
1420224,1
1803371,1
1453262,1
1498633,1
842703,1
212338,1
1202346,1
312212,1
174346,1
619293,1
278415,1
327233,1
1586215,1
675849,1
983121,1
1436952,1
476828,1
148673,1
706023,1
1771902,1
913057,1
312253,1
81802,1
1313687,1
1104646,1
1256875,1
340795,1
1530722,1
1015357,1
1180090,1
1930541,1
305779,1
659922,1
823643,1
1008783,1
680570,1
